img_id left top width height
aligned_images_DB/Franz_Muentefering/2/aligned_detect_2.564.jpg 78 92 125 125
aligned_images_DB/Franz_Muentefering/2/aligned_detect_2.555.jpg 99 111 105 105
aligned_images_DB/Franz_Muentefering/2/aligned_detect_2.508.jpg 99 111 105 105
aligned_images_DB/Franz_Muentefering/2/aligned_detect_2.570.jpg 92 92 125 125
aligned_images_DB/Franz_Muentefering/2/aligned_detect_2.534.jpg 78 92 125 125
aligned_images_DB/Franz_Muentefering/2/aligned_detect_2.567.jpg 78 92 125 125
aligned_images_DB/Franz_Muentefering/2/aligned_detect_2.558.jpg 78 92 125 125
aligned_images_DB/Franz_Muentefering/2/aligned_detect_2.511.jpg 99 111 105 105
aligned_images_DB/Franz_Muentefering/2/aligned_detect_2.513.jpg 92 105 125 126
aligned_images_DB/Patrick_Stewart/2/aligned_detect_2.563.jpg 105 119 126 126
aligned_images_DB/Patrick_Stewart/2/aligned_detect_2.305.jpg 92 92 125 125
aligned_images_DB/Patrick_Stewart/2/aligned_detect_2.565.jpg 105 119 126 126
aligned_images_DB/Patrick_Stewart/2/aligned_detect_2.551.jpg 119 133 126 125
aligned_images_DB/Patrick_Stewart/2/aligned_detect_2.562.jpg 105 119 126 126
aligned_images_DB/Patrick_Stewart/2/aligned_detect_2.214.jpg 105 105 126 126
aligned_images_DB/Patrick_Stewart/2/aligned_detect_2.301.jpg 88 88 105 105
aligned_images_DB/Patrick_Stewart/2/aligned_detect_2.237.jpg 88 99 105 105
aligned_images_DB/Patrick_Stewart/2/aligned_detect_2.197.jpg 78 92 125 125
aligned_images_DB/Patrick_Stewart/2/aligned_detect_2.238.jpg 88 99 105 105
aligned_images_DB/Patrick_Stewart/2/aligned_detect_2.296.jpg 78 78 125 125
aligned_images_DB/Patrick_Stewart/2/aligned_detect_2.300.jpg 78 78 125 125
aligned_images_DB/Patrick_Stewart/2/aligned_detect_2.189.jpg 88 99 105 105
aligned_images_DB/Patrick_Stewart/2/aligned_detect_2.295.jpg 78 78 125 125
aligned_images_DB/Patrick_Stewart/2/aligned_detect_2.559.jpg 105 119 126 126
aligned_images_DB/Patrick_Stewart/2/aligned_detect_2.558.jpg 119 119 126 126
aligned_images_DB/Patrick_Stewart/2/aligned_detect_2.276.jpg 78 78 125 125
aligned_images_DB/Zhu_Rongji/0/aligned_detect_0.764.jpg 88 99 105 105
aligned_images_DB/Zhu_Rongji/0/aligned_detect_0.763.jpg 78 92 125 125
aligned_images_DB/Zhu_Rongji/0/aligned_detect_0.758.jpg 78 92 125 125
aligned_images_DB/Zhu_Rongji/0/aligned_detect_0.759.jpg 78 92 125 125
aligned_images_DB/Zhu_Rongji/0/aligned_detect_0.765.jpg 88 99 105 105
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1061.jpg 64 78 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1084.jpg 92 92 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1090.jpg 92 92 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1076.jpg 88 88 105 105
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1132.jpg 64 78 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1125.jpg 88 99 105 105
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1142.jpg 76 76 105 105
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1124.jpg 78 78 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1131.jpg 88 88 105 105
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1089.jpg 92 92 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1075.jpg 99 99 105 105
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1143.jpg 76 76 105 105
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1113.jpg 64 78 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1067.jpg 78 78 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1096.jpg 78 78 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1127.jpg 76 88 105 105
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1123.jpg 88 88 105 105
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1110.jpg 78 78 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1136.jpg 78 78 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1097.jpg 77 93 150 151
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1053.jpg 78 78 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1145.jpg 76 76 105 105
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1080.jpg 105 105 126 126
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1104.jpg 77 93 150 151
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1106.jpg 64 78 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1081.jpg 78 78 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1082.jpg 88 88 105 105
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1137.jpg 78 92 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1121.jpg 88 88 105 105
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1141.jpg 76 76 105 105
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1122.jpg 88 88 105 105
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1050.jpg 64 78 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1086.jpg 92 92 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1047.jpg 64 64 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1128.jpg 78 78 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1133.jpg 77 93 150 151
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1051.jpg 78 78 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1055.jpg 92 92 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1126.jpg 76 88 105 105
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1105.jpg 77 93 150 151
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1052.jpg 64 78 125 125
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1129.jpg 76 88 105 105
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1069.jpg 76 88 105 105
aligned_images_DB/Alastair_Campbell/2/aligned_detect_2.1085.jpg 92 92 125 125
aligned_images_DB/Markus_Beyer/5/aligned_detect_5.1006.jpg 119 105 126 126
aligned_images_DB/Peter_Goldmark/3/aligned_detect_3.1428.jpg 105 119 126 126
aligned_images_DB/Peter_Goldmark/3/aligned_detect_3.1418.jpg 92 105 125 126
aligned_images_DB/Mack_Brown/5/aligned_detect_5.2677.jpg 64 64 125 125
aligned_images_DB/Otto_Schily/3/aligned_detect_3.875.jpg 76 99 105 105
aligned_images_DB/Otto_Schily/4/aligned_detect_4.1090.jpg 76 88 105 105
aligned_images_DB/Otto_Schily/4/aligned_detect_4.1114.jpg 88 88 105 105
aligned_images_DB/Otto_Schily/4/aligned_detect_4.1139.jpg 65 76 104 105
aligned_images_DB/Otto_Schily/4/aligned_detect_4.1120.jpg 64 64 125 125
aligned_images_DB/Otto_Schily/4/aligned_detect_4.1060.jpg 76 99 105 105
aligned_images_DB/Otto_Schily/4/aligned_detect_4.1133.jpg 88 88 105 105
aligned_images_DB/Otto_Schily/4/aligned_detect_4.849.jpg 64 78 125 125
aligned_images_DB/Otto_Schily/4/aligned_detect_4.683.jpg 76 88 105 105
aligned_images_DB/Otto_Schily/4/aligned_detect_4.1098.jpg 88 99 105 105
aligned_images_DB/Otto_Schily/4/aligned_detect_4.1141.jpg 65 76 104 105
aligned_images_DB/Otto_Schily/4/aligned_detect_4.1079.jpg 64 78 125 125
aligned_images_DB/Otto_Schily/4/aligned_detect_4.1125.jpg 99 99 105 105
aligned_images_DB/Otto_Schily/4/aligned_detect_4.1118.jpg 99 99 105 105
aligned_images_DB/Otto_Schily/4/aligned_detect_4.949.jpg 76 99 105 105
aligned_images_DB/Otto_Schily/4/aligned_detect_4.1132.jpg 78 92 125 125
aligned_images_DB/Otto_Schily/4/aligned_detect_4.1081.jpg 88 88 105 105
aligned_images_DB/Otto_Schily/4/aligned_detect_4.1113.jpg 88 88 105 105
aligned_images_DB/Otto_Schily/4/aligned_detect_4.1103.jpg 88 99 105 105
aligned_images_DB/Otto_Schily/4/aligned_detect_4.684.jpg 88 99 105 105
aligned_images_DB/Otto_Schily/4/aligned_detect_4.1039.jpg 78 92 125 125
aligned_images_DB/Otto_Schily/4/aligned_detect_4.711.jpg 76 88 105 105
aligned_images_DB/Otto_Schily/4/aligned_detect_4.669.jpg 78 92 125 125
aligned_images_DB/Otto_Schily/4/aligned_detect_4.1127.jpg 88 99 105 105
aligned_images_DB/Otto_Schily/4/aligned_detect_4.601.jpg 102 112 87 87
aligned_images_DB/Otto_Schily/4/aligned_detect_4.1128.jpg 78 78 125 125
aligned_images_DB/Otto_Schily/4/aligned_detect_4.639.jpg 88 99 105 105
aligned_images_DB/Otto_Schily/4/aligned_detect_4.1116.jpg 88 88 105 105
aligned_images_DB/Otto_Schily/4/aligned_detect_4.1123.jpg 78 78 125 125
aligned_images_DB/Christopher_Reeve/3/aligned_detect_3.94.jpg 77 85 73 73
aligned_images_DB/Massoud_Barzani/0/aligned_detect_0.557.jpg 88 99 105 105
aligned_images_DB/Massoud_Barzani/0/aligned_detect_0.310.jpg 92 102 88 87
aligned_images_DB/Massoud_Barzani/0/aligned_detect_0.518.jpg 88 99 105 105
aligned_images_DB/Massoud_Barzani/0/aligned_detect_0.293.jpg 76 88 105 105
aligned_images_DB/Massoud_Barzani/0/aligned_detect_0.299.jpg 76 88 105 105
aligned_images_DB/Massoud_Barzani/0/aligned_detect_0.309.jpg 88 99 105 105
aligned_images_DB/Massoud_Barzani/0/aligned_detect_0.516.jpg 88 99 105 105
aligned_images_DB/Massoud_Barzani/0/aligned_detect_0.511.jpg 88 99 105 105
aligned_images_DB/Massoud_Barzani/0/aligned_detect_0.317.jpg 76 88 105 105
aligned_images_DB/Massoud_Barzani/0/aligned_detect_0.564.jpg 76 88 105 105
aligned_images_DB/Massoud_Barzani/4/aligned_detect_4.222.jpg 78 92 125 125
aligned_images_DB/Gary_Barnett/1/aligned_detect_1.17.jpg 92 105 125 126
aligned_images_DB/Gary_Barnett/1/aligned_detect_1.1965.jpg 99 111 105 105
aligned_images_DB/Ion_Tiriac/1/aligned_detect_1.696.jpg 92 105 125 126
aligned_images_DB/Ion_Tiriac/0/aligned_detect_0.567.jpg 105 119 126 126
aligned_images_DB/Ion_Tiriac/0/aligned_detect_0.566.jpg 111 122 105 105
aligned_images_DB/Abdulaziz_Kamilov/0/aligned_detect_0.1509.jpg 88 99 105 105
aligned_images_DB/Abdulaziz_Kamilov/0/aligned_detect_0.1517.jpg 76 88 105 105
aligned_images_DB/Abdulaziz_Kamilov/0/aligned_detect_0.1507.jpg 88 99 105 105
aligned_images_DB/Abdulaziz_Kamilov/0/aligned_detect_0.1506.jpg 88 99 105 105
aligned_images_DB/Abdulaziz_Kamilov/0/aligned_detect_0.1508.jpg 88 99 105 105
aligned_images_DB/Abdulaziz_Kamilov/0/aligned_detect_0.1505.jpg 88 99 105 105
aligned_images_DB/Abdulaziz_Kamilov/4/aligned_detect_4.480.jpg 76 88 105 105
aligned_images_DB/Abdulaziz_Kamilov/4/aligned_detect_4.548.jpg 88 99 105 105
aligned_images_DB/Ralph_Friedgen/3/aligned_detect_3.625.jpg 72 92 180 180
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.69.jpg 111 122 105 105
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.77.jpg 105 119 126 126
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.83.jpg 111 122 105 105
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.97.jpg 99 111 105 105
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.56.jpg 105 105 126 126
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.62.jpg 111 122 105 105
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.109.jpg 105 119 126 126
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.117.jpg 92 105 125 126
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.58.jpg 92 105 125 126
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.98.jpg 99 111 105 105
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.100.jpg 92 105 125 126
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.118.jpg 99 111 105 105
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.67.jpg 111 122 105 105
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.59.jpg 92 105 125 126
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.108.jpg 105 119 126 126
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.88.jpg 119 133 126 125
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.75.jpg 119 133 126 125
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.101.jpg 92 105 125 126
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.68.jpg 111 122 105 105
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.87.jpg 119 133 126 125
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.76.jpg 105 119 126 126
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.60.jpg 111 122 105 105
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.61.jpg 111 122 105 105
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.66.jpg 122 134 105 105
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.80.jpg 111 122 105 105
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.54.jpg 111 122 105 105
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.57.jpg 92 105 125 126
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.116.jpg 92 105 125 126
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.79.jpg 111 122 105 105
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.65.jpg 122 134 105 105
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.55.jpg 105 105 126 126
aligned_images_DB/Paul_Sarbanes/0/aligned_detect_0.94.jpg 111 122 105 105
aligned_images_DB/Claudia_Cardinale/1/aligned_detect_1.980.jpg 111 122 105 105
aligned_images_DB/Claudia_Cardinale/1/aligned_detect_1.985.jpg 111 122 105 105
aligned_images_DB/Claudia_Cardinale/1/aligned_detect_1.981.jpg 99 111 105 105
aligned_images_DB/Claudia_Cardinale/1/aligned_detect_1.982.jpg 111 122 105 105
aligned_images_DB/Claudia_Cardinale/1/aligned_detect_1.978.jpg 126 143 151 150
aligned_images_DB/Linda_Lingle/0/aligned_detect_0.2179.jpg 65 88 104 105
aligned_images_DB/James_Murdoch/3/aligned_detect_3.458.jpg 134 134 105 105
aligned_images_DB/James_Murdoch/3/aligned_detect_3.457.jpg 134 134 105 105
aligned_images_DB/Janice_Abreu/0/aligned_detect_0.484.jpg 102 112 87 87
aligned_images_DB/Janice_Abreu/0/aligned_detect_0.490.jpg 99 111 105 105
aligned_images_DB/Janice_Abreu/0/aligned_detect_0.489.jpg 99 111 105 105
aligned_images_DB/Janice_Abreu/0/aligned_detect_0.487.jpg 78 92 125 125
aligned_images_DB/Janice_Abreu/0/aligned_detect_0.488.jpg 78 92 125 125
aligned_images_DB/Rand_Beers/5/aligned_detect_5.2151.jpg 101 85 73 73
aligned_images_DB/Rand_Beers/5/aligned_detect_5.2201.jpg 102 83 87 87
aligned_images_DB/Rand_Beers/5/aligned_detect_5.2165.jpg 101 85 73 73
aligned_images_DB/Carey_Lowell/0/aligned_detect_0.2.jpg 119 133 126 125
aligned_images_DB/Carey_Lowell/0/aligned_detect_0.4.jpg 111 122 105 105
aligned_images_DB/Carey_Lowell/0/aligned_detect_0.3.jpg 119 133 126 125
aligned_images_DB/Carey_Lowell/0/aligned_detect_0.5.jpg 122 134 105 105
aligned_images_DB/Carey_Lowell/0/aligned_detect_0.6.jpg 119 133 126 125
aligned_images_DB/Carey_Lowell/2/aligned_detect_2.442.jpg 99 111 105 105
aligned_images_DB/Carey_Lowell/2/aligned_detect_2.333.jpg 112 112 87 87
aligned_images_DB/Carey_Lowell/2/aligned_detect_2.336.jpg 99 99 105 105
aligned_images_DB/Carey_Lowell/2/aligned_detect_2.436.jpg 99 111 105 105
aligned_images_DB/Carey_Lowell/2/aligned_detect_2.320.jpg 112 121 87 88
aligned_images_DB/Carey_Lowell/2/aligned_detect_2.384.jpg 122 134 105 105
aligned_images_DB/Carey_Lowell/2/aligned_detect_2.383.jpg 112 121 87 88
aligned_images_DB/Carey_Lowell/2/aligned_detect_2.369.jpg 102 102 87 87
aligned_images_DB/Carey_Lowell/2/aligned_detect_2.380.jpg 111 111 105 105
aligned_images_DB/Carey_Lowell/2/aligned_detect_2.314.jpg 111 122 105 105
aligned_images_DB/Carey_Lowell/2/aligned_detect_2.327.jpg 112 121 87 88
aligned_images_DB/Carey_Lowell/2/aligned_detect_2.337.jpg 99 99 105 105
aligned_images_DB/Carey_Lowell/2/aligned_detect_2.438.jpg 99 111 105 105
aligned_images_DB/Carey_Lowell/2/aligned_detect_2.429.jpg 99 111 105 105
